iter	Passed	Remaining
1547	14018	8620
1548	14025	8611
1549	14034	8601
1550	14042	8592
1551	14050	8582
1552	14057	8572
1553	14065	8562
1554	14074	8553
1555	14081	8543
1556	14089	8533
1557	14097	8523
1558	14106	8514
1559	14113	8504
1560	14122	8495
1561	14129	8484
1562	14137	8475
1563	14144	8465
1564	14153	8456
1565	14160	8445
1566	14169	8436
1567	14177	8427
1568	14187	8418
1569	14195	8408
1570	14204	8399
1571	14211	8389
1572	14219	8379
1573	14226	8369
1574	14234	8360
1575	14242	8350
1576	14252	8341
1577	14259	8331
1578	14267	8321
1579	14275	8312
1580	14284	8303
1581	14292	8293
1582	14302	8285
1583	14310	8275
1584	14319	8266
1585	14326	8256
1586	14334	8246
1587	14341	8236
1588	14349	8226
1589	14357	8216
1590	14365	8207
1591	14373	8198
1592	14382	8188
1593	14390	8179
1594	14399	8170
1595	14407	8160
1596	14415	8150
1597	14423	8141
1598	14431	8132
1599	14440	8122
1600	14448	8113
1601	14457	8104
1602	14465	8094
1603	14473	8084
1604	14481	8075
1605	14490	8066
1606	14498	8056
1607	14510	8049
1608	14519	8040
1609	14529	8031
1610	14539	8023
1611	14548	8014
1612	14558	8005
1613	14567	7996
1614	14575	7987
1615	14584	7977
1616	14592	7968
1617	14600	7958
1618	14611	7950
1619	14620	7942
1620	14628	7932
1621	14639	7924
1622	14656	7919
1623	14673	7914
1624	14690	7910
1625	14706	7905
1626	14725	7901
1627	14737	7893
1628	14750	7886
1629	14759	7877
1630	14770	7869
1631	14784	7863
1632	14794	7854
1633	14803	7845
1634	14817	7839
1635	14827	7830
1636	14838	7822
1637	14846	7813
1638	14856	7804
1639	14868	7797
1640	14877	7788
1641	14886	7778
1642	14896	7769
1643	14904	7760
1644	14912	7751
1645	14921	7741
1646	14930	7732
1647	14938	7722
1648	14946	7713
1649	14955	7704
1650	14967	7696
1651	14975	7687
1652	14986	7679
1653	14997	7671
1654	15005	7661
1655	15017	7653
1656	15029	7646
1657	15037	7636
1658	15050	7629
1659	15061	7621
1660	15070	7612
1661	15081	7604
1662	15089	7594
1663	15099	7586
1664	15108	7577
1665	15116	7567
1666	15127	7559
1667	15135	7549
1668	15146	7541
1669	15156	7532
1670	15164	7523
